threshold,accuracy,precision,recall,f1,far,tp,fp,fn,tn
0.05,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.10,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.15,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.20,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.25,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.30,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.35,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.40,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.45,0.3333,0.3333,1.0000,0.5000,1.0000,24,48,0,0
0.50,0.3472,0.3380,1.0000,0.5053,0.9792,24,47,0,1
0.55,0.6389,0.0000,0.0000,0.0000,0.0417,0,2,24,46
0.60,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,24,48
0.65,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,24,48
0.70,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,24,48
0.75,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,24,48
0.80,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,24,48
0.85,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,24,48
0.90,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,24,48
0.95,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,24,48
