fold,subject,accuracy,precision,recall,f1,tp,fp,fn,tn,n_videos,time_s
1,01,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,36.9
2,02,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,56.0
3,03,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,37.1
4,04,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,14.0
5,05,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,26.5
6,06,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,39.8
7,07,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,51.8
8,08,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,38.6
9,09,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,41.4
10,10,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,20.8
11,11,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,20.4
12,12,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,23.5
13,13,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,45.2
14,14,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,37.6
15,15,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,15.7
16,16,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,10.2
17,17,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,7.7
18,18,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,10.7
19,19,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,43.7
20,20,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,16.6
21,21,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,17.1
22,22,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,44.4
23,23,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,14.0
24,24,1.0000,1.0000,1.0000,1.0000,1,0,0,2,3,21.7
