fold,subject,train_faces,val_acc,accuracy,precision,recall,f1,video_acc,tp,fp,fn,tn,n_frames,n_videos,time_s
1,01,1863,1.0,0.6555555555555556,0.4,0.06666666666666667,0.1142857142857143,0.6666666666666666,2,3,28,57,90,3,74.16404581069946
2,02,1863,0.990338146686554,0.6888888888888889,0.5178571428571429,0.9666666666666667,0.6744186046511628,0.6666666666666666,29,27,1,33,90,3,81.52653431892395
3,03,1863,1.0,0.5222222222222223,0.06666666666666667,0.03333333333333333,0.04444444444444444,0.6666666666666666,1,14,29,46,90,3,112.43823671340942
4,04,1863,0.990338146686554,0.5111111111111111,0.0625,0.03333333333333333,0.04347826086956522,0.6666666666666666,1,15,29,45,90,3,81.41841220855713
5,05,1863,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0,0,30,60,90,3,102.73926186561584
6,06,1863,1.0,0.5444444444444444,0.4126984126984127,0.8666666666666667,0.5591397849462365,0.6666666666666666,26,37,4,23,90,3,131.2369680404663
7,07,1863,1.0,0.4444444444444444,0.0,0.0,0.0,0.3333333333333333,0,20,30,40,90,3,79.93432211875916
8,08,1863,1.0,0.6111111111111112,0.4418604651162791,0.6333333333333333,0.5205479452054794,1.0,19,24,11,36,90,3,77.47636604309082
9,09,1863,1.0,0.6333333333333333,0.0,0.0,0.0,0.6666666666666666,0,3,30,57,90,3,98.29378175735474
10,10,1863,1.0,0.7,1.0,0.1,0.18181818181818182,0.6666666666666666,3,0,27,60,90,3,126.01053667068481
11,11,1863,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0,0,30,60,90,3,74.83063387870789
12,12,1863,1.0,0.5111111111111111,0.3409090909090909,0.5,0.40540540540540543,0.6666666666666666,15,29,15,31,90,3,89.76653742790222
13,13,1863,0.9951691031455994,0.7111111111111111,0.5357142857142857,1.0,0.6976744186046512,0.6666666666666666,30,26,0,34,90,3,81.16385889053345
14,14,1863,0.9855072498321533,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,30,30,0,30,90,3,85.49951839447021
15,15,1863,0.9951691031455994,0.6555555555555556,0.0,0.0,0.0,0.6666666666666666,0,1,30,59,90,3,109.48457360267639
16,16,1863,1.0,0.3,0.07692307692307693,0.1,0.08695652173913043,0.3333333333333333,3,36,27,24,90,3,98.42967748641968
17,17,1863,0.990338146686554,0.3333333333333333,0.3170731707317073,0.8666666666666667,0.4642857142857143,0.3333333333333333,26,56,4,4,90,3,93.02183055877686
18,18,1863,0.9951691031455994,0.2777777777777778,0.07317073170731707,0.1,0.08450704225352113,0.0,3,38,27,22,90,3,90.75680351257324
19,19,1863,0.9951691031455994,0.9333333333333333,1.0,0.8,0.888888888888889,1.0,24,0,6,60,90,3,101.69002103805542
20,20,1863,0.9951691031455994,0.6222222222222222,0.4375,0.4666666666666667,0.45161290322580644,0.6666666666666666,14,18,16,42,90,3,98.4617087841034
21,21,1863,0.990338146686554,0.5444444444444444,0.0,0.0,0.0,0.6666666666666666,0,11,30,49,90,3,105.82773685455322
22,22,1863,0.9855072498321533,0.5555555555555556,0.08333333333333333,0.03333333333333333,0.04761904761904761,0.6666666666666666,1,11,29,49,90,3,84.06824135780334
23,23,1863,1.0,0.3888888888888889,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.3333333333333333,10,35,20,25,90,3,99.78635096549988
24,24,1863,1.0,0.5777777777777777,0.2777777777777778,0.16666666666666666,0.20833333333333334,0.6666666666666666,5,13,25,47,90,3,110.73410415649414
