fold,subject,train_faces,val_acc,accuracy,precision,recall,f1,video_acc,tp,fp,fn,tn,n_frames,n_videos,time_s
1,01,3726,0.9975845217704773,0.7444444444444445,1.0,0.23333333333333334,0.37837837837837834,0.6666666666666666,14,0,46,120,180,3,180.36348509788513
2,02,3726,0.9975845217704773,0.6833333333333333,0.5135135135135135,0.95,0.6666666666666667,0.6666666666666666,57,54,3,66,180,3,194.9612843990326
3,03,3726,0.9975845217704773,0.6833333333333333,0.8,0.06666666666666667,0.12307692307692308,0.6666666666666666,4,1,56,119,180,3,180.79648733139038
4,04,3726,0.9975845217704773,0.5166666666666667,0.30985915492957744,0.36666666666666664,0.3358778625954198,0.3333333333333333,22,49,38,71,180,3,277.65606117248535
5,05,3726,0.9975845217704773,0.6722222222222223,0.6666666666666666,0.03333333333333333,0.06349206349206349,0.6666666666666666,2,1,58,119,180,3,192.357839345932
6,06,3726,1.0,0.6666666666666666,0.5,0.08333333333333333,0.14285714285714285,0.6666666666666666,5,5,55,115,180,3,238.14084887504578
7,07,3726,1.0,0.5444444444444444,0.4153846153846154,0.9,0.568421052631579,0.6666666666666666,54,76,6,44,180,3,194.07609248161316
8,08,3726,1.0,0.45,0.3691275167785235,0.9166666666666666,0.5263157894736842,0.3333333333333333,55,94,5,26,180,3,155.49306297302246
9,09,3726,1.0,0.6166666666666667,0.45263157894736844,0.7166666666666667,0.5548387096774194,0.6666666666666666,43,52,17,68,180,3,219.38254284858704
10,10,3726,1.0,0.5888888888888889,0.15,0.05,0.075,0.6666666666666666,3,17,57,103,180,3,199.22885704040527
11,11,3726,1.0,0.5444444444444444,0.07692307692307693,0.03333333333333333,0.046511627906976744,0.6666666666666666,2,24,58,96,180,3,182.4084131717682
12,12,3726,0.9975845217704773,0.4444444444444444,0.12962962962962962,0.11666666666666667,0.12280701754385966,0.3333333333333333,7,47,53,73,180,3,159.68741011619568
13,13,3726,1.0,0.3111111111111111,0.14444444444444443,0.21666666666666667,0.1733333333333333,0.0,13,77,47,43,180,3,170.62141156196594
14,14,3726,1.0,0.03333333333333333,0.008620689655172414,0.016666666666666666,0.011363636363636364,0.0,1,115,59,5,180,3,186.45050263404846
15,15,3726,0.9975845217704773,0.6611111111111111,0.0,0.0,0.0,0.6666666666666666,0,1,60,119,180,3,163.03401708602905
16,16,3726,1.0,0.5111111111111111,0.3813559322033898,0.75,0.50561797752809,0.6666666666666666,45,73,15,47,180,3,169.03788542747498
17,17,3726,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,60,120,0,0,180,3,215.37848496437073
18,18,3726,1.0,0.3333333333333333,0.33146067415730335,0.9833333333333333,0.49579831932773105,0.3333333333333333,59,119,1,1,180,3,184.48662900924683
19,19,3726,0.9975845217704773,0.9888888888888889,0.9833333333333333,0.9833333333333333,0.9833333333333333,1.0,59,1,1,119,180,3,176.9126706123352
20,20,3726,1.0,0.5833333333333334,0.0,0.0,0.0,0.6666666666666666,0,15,60,105,180,3,168.37261843681335
21,21,3726,0.9975845217704773,0.36666666666666664,0.0,0.0,0.0,0.3333333333333333,0,54,60,66,180,3,164.60738015174866
22,22,3726,1.0,0.65,0.0,0.0,0.0,0.6666666666666666,0,3,60,117,180,3,183.52877593040466
23,23,3726,1.0,0.5555555555555556,0.4253731343283582,0.95,0.5876288659793815,0.6666666666666666,57,77,3,43,180,3,248.93044710159302
24,24,3726,1.0,0.28888888888888886,0.25,0.5666666666666667,0.3469387755102041,0.3333333333333333,34,102,26,18,180,3,259.17056465148926
