fold,subject,train_seqs,k_shots,threshold,accuracy,precision,recall,f1,video_acc,tp,fp,fn,tn,n_frames,n_videos,time_s
1,01,3723,10,0.1,0.6588235294117647,0.0,0.0,0.0,0.6666666666666666,0,0,58,112,170,3,44.88915467262268
2,02,3723,10,0.6499999999999997,0.8764705882352941,0.8363636363636363,0.7931034482758621,0.8141592920353982,1.0,46,9,12,103,170,3,41.59847927093506
3,03,3723,10,0.1,0.38235294117647056,0.0,0.0,0.0,0.3333333333333333,0,51,54,65,170,3,45.14159083366394
4,04,3723,10,0.7799999999999997,0.21764705882352942,0.05813953488372093,0.08771929824561403,0.06993006993006994,0.0,5,81,52,32,170,3,30.84035086631775
5,05,3723,10,0.1,0.6647058823529411,0.3333333333333333,0.03636363636363636,0.06557377049180327,0.6666666666666666,2,4,53,111,170,3,39.94996643066406
6,06,3723,10,0.8699999999999996,0.5235294117647059,0.3230769230769231,0.3620689655172414,0.34146341463414637,0.3333333333333333,21,44,37,68,170,3,42.29310417175293
7,07,3723,10,0.1,0.6705882352941176,0.4954954954954955,1.0,0.6626506024096385,0.6666666666666666,55,56,0,59,170,3,40.719045877456665
8,08,3723,10,0.8499999999999996,0.6941176470588235,0.6071428571428571,0.29310344827586204,0.3953488372093023,0.6666666666666666,17,11,41,101,170,3,41.24865961074829
9,09,3723,10,0.1,0.9352941176470588,1.0,0.8103448275862069,0.8952380952380952,1.0,47,0,11,112,170,3,41.52537798881531
10,10,3723,10,0.34999999999999987,0.8411764705882353,0.8333333333333334,0.6363636363636364,0.7216494845360825,1.0,35,7,20,108,170,3,36.835248947143555
11,11,3723,10,0.1,0.6647058823529411,0.45454545454545453,0.08928571428571429,0.1492537313432836,0.6666666666666666,5,6,51,108,170,3,42.883567571640015
12,12,3723,10,0.1,0.31176470588235294,0.15555555555555556,0.2545454545454545,0.19310344827586207,0.6666666666666666,14,76,41,39,170,3,40.9466118812561
13,13,3723,10,0.1,0.3176470588235294,0.31952662721893493,0.9818181818181818,0.48214285714285715,0.3333333333333333,54,115,1,0,170,3,40.38651895523071
14,14,3723,10,0.1,0.35294117647058826,0.16666666666666666,0.22413793103448276,0.19117647058823528,0.3333333333333333,13,65,45,47,170,3,43.65475678443909
15,15,3723,10,0.1,0.6647058823529411,0.0,0.0,0.0,0.6666666666666666,0,0,57,113,170,3,36.37174034118652
16,16,3723,10,0.5599999999999997,0.8411764705882353,0.734375,0.8245614035087719,0.7768595041322315,1.0,47,17,10,96,170,3,42.8983952999115
17,17,3723,10,0.8899999999999996,0.32941176470588235,0.22857142857142856,0.42105263157894735,0.2962962962962963,0.3333333333333333,24,81,33,32,170,3,33.28686332702637
18,18,3723,10,0.45999999999999985,0.4235294117647059,0.31,0.5166666666666667,0.3875,0.6666666666666666,31,69,29,41,170,3,50.34092617034912
19,19,3723,10,0.1,0.9941176470588236,0.9827586206896551,1.0,0.9913043478260869,1.0,57,1,0,112,170,3,41.39571714401245
20,20,3723,10,0.1,0.5470588235294118,0.0,0.0,0.0,0.3333333333333333,0,21,56,93,170,3,44.11505460739136
21,21,3723,10,0.1,0.4411764705882353,0.0,0.0,0.0,0.3333333333333333,0,36,59,75,170,3,33.33918070793152
22,22,3723,10,0.1,0.38235294117647056,0.0847457627118644,0.08928571428571429,0.08695652173913043,0.3333333333333333,5,54,51,60,170,3,40.88768649101257
23,23,3723,10,0.1,0.5352941176470588,0.39166666666666666,0.8867924528301887,0.5433526011560694,0.6666666666666666,47,73,6,44,170,3,28.98422622680664
24,24,3723,10,0.5099999999999998,0.8941176470588236,0.9,0.7758620689655172,0.8333333333333334,1.0,45,5,13,107,170,3,39.56214642524719
