fold,subject,train_faces,k_shots,threshold,accuracy,precision,recall,f1,video_acc,tp,fp,fn,tn,n_frames,n_videos,time_s
1,01,3726,30,0.2599999999999999,0.9866666666666667,0.9636363636363636,1.0,0.9814814814814815,0.6666666666666666,53,2,0,95,150,3,233.0326976776123
2,02,3726,30,0.1,0.9866666666666667,0.9629629629629629,1.0,0.9811320754716981,0.6666666666666666,52,2,0,96,150,3,233.01873397827148
3,03,3726,30,0.32999999999999985,0.96,0.8775510204081632,1.0,0.9347826086956522,1.0,43,6,0,101,150,3,237.2926061153412
4,04,3726,30,0.1,0.98,0.9454545454545454,1.0,0.9719626168224299,0.6666666666666666,52,3,0,95,150,3,278.4336338043213
5,05,3726,30,0.1,0.9733333333333334,0.9245283018867925,1.0,0.9607843137254902,0.3333333333333333,49,4,0,97,150,3,228.46892309188843
6,06,3726,30,0.1,0.9733333333333334,0.9245283018867925,1.0,0.9607843137254902,0.6666666666666666,49,4,0,97,150,3,242.96033763885498
7,07,3726,30,0.22999999999999995,0.98,0.9387755102040817,1.0,0.968421052631579,0.6666666666666666,46,3,0,101,150,3,235.947692155838
8,08,3726,30,0.1,0.9933333333333333,0.9818181818181818,1.0,0.9908256880733944,0.6666666666666666,54,1,0,95,150,3,247.22134613990784
9,09,3726,30,0.1,0.9733333333333334,0.9333333333333333,1.0,0.9655172413793104,0.6666666666666666,56,4,0,90,150,3,250.2812328338623
10,10,3726,30,0.12,0.8266666666666667,0.6338028169014085,1.0,0.7758620689655172,0.6666666666666666,45,26,0,79,150,3,265.07736015319824
11,11,3726,30,0.1,0.94,1.0,0.8333333333333334,0.9090909090909091,1.0,45,0,9,96,150,3,303.975878238678
12,12,3726,30,0.1,0.9533333333333334,0.8771929824561403,1.0,0.9345794392523363,0.6666666666666666,50,7,0,93,150,3,241.74504494667053
13,13,3726,30,0.7299999999999996,0.9933333333333333,1.0,0.9795918367346939,0.9896907216494846,1.0,48,0,1,101,150,3,251.02645468711853
14,14,3726,30,0.1,0.9866666666666667,0.9629629629629629,1.0,0.9811320754716981,0.6666666666666666,52,2,0,96,150,3,247.0875973701477
15,15,3726,30,0.1,0.9866666666666667,0.9607843137254902,1.0,0.98,0.6666666666666666,49,2,0,99,150,3,244.66501545906067
16,16,3726,30,0.1,0.9866666666666667,0.9591836734693877,1.0,0.9791666666666666,0.6666666666666666,47,2,0,101,150,3,262.32342624664307
17,17,3726,30,0.24999999999999992,0.9466666666666667,0.864406779661017,1.0,0.9272727272727274,0.6666666666666666,51,8,0,91,150,3,295.1499078273773
18,18,3726,30,0.2599999999999999,0.9866666666666667,0.9629629629629629,1.0,0.9811320754716981,1.0,52,2,0,96,150,3,270.83679819107056
19,19,3726,30,0.1,0.9866666666666667,0.9642857142857143,1.0,0.9818181818181818,0.6666666666666666,54,2,0,94,150,3,279.7512044906616
20,20,3726,30,0.1,0.9866666666666667,0.96,1.0,0.9795918367346939,0.6666666666666666,48,2,0,100,150,3,270.91496658325195
21,21,3726,30,0.1,0.9866666666666667,0.9622641509433962,1.0,0.9807692307692307,0.6666666666666666,51,2,0,97,150,3,246.79641914367676
22,22,3726,30,0.1,0.9866666666666667,0.96,1.0,0.9795918367346939,0.6666666666666666,48,2,0,100,150,3,267.477210521698
23,23,3726,30,0.3599999999999999,0.8,0.6,1.0,0.7499999999999999,0.6666666666666666,45,30,0,75,150,3,284.05154275894165
24,24,3726,30,0.11,0.9,0.7761194029850746,1.0,0.8739495798319328,0.6666666666666666,52,15,0,83,150,3,306.6531364917755
